sample_id,dx_norm_mean,dx_norm_std,dy_norm_mean,dy_norm_std,fraction_dx_abs_001,fraction_dx_abs_002,fraction_dx_abs_005,fraction_dy_abs_001,fraction_dy_abs_002,fraction_dy_abs_005,abs_dx_diag_mae,abs_dy_diag_mae,sign_lost,status
sample_000000,-0.21419358689558973,0.27895705197693305,-0.12505605615001306,0.20804123446695746,0.23214285714285715,0.2544642857142857,0.3705357142857143,0.022321428571428572,0.32142857142857145,0.42857142857142855,2.8320388062305143e-09,1.822150847632209e-09,True,sign_lost_not_trajectory_reconstructable
sample_000001,0.17744903149459473,0.291571776651663,-0.003373798051854631,0.1828150036569886,0.22321428571428573,0.24553571428571427,0.35267857142857145,0.008928571428571428,0.24553571428571427,0.40625,2.6875178740260523e-09,1.1595775435429257e-09,True,sign_lost_not_trajectory_reconstructable
sample_000002,-0.14908547345692838,0.23743496113638318,0.10588485284608685,0.20280785138528035,0.40625,0.45089285714285715,0.5,0.07589285714285714,0.4732142857142857,0.5491071428571429,1.839155461995037e-09,1.6566151286822835e-09,True,sign_lost_not_trajectory_reconstructable
sample_000003,0.09643012851122433,0.21974663210179915,0.1109872661285264,0.21457746831849603,0.27232142857142855,0.29017857142857145,0.38392857142857145,0.004464285714285714,0.25892857142857145,0.3794642857142857,1.7295942362866445e-09,1.6928708816931495e-09,True,sign_lost_not_trajectory_reconstructable
sample_000004,0.08617673926132295,0.18484065430512872,-0.1624833135181378,0.2605676771812488,0.2767857142857143,0.29464285714285715,0.36607142857142855,0.03125,0.3169642857142857,0.3794642857142857,1.4871573891251568e-09,2.0895093954601623e-09,True,sign_lost_not_trajectory_reconstructable
sample_000005,0.05566700230448525,0.23889756478669769,-0.14437326617024546,0.22280047496030292,0.23214285714285715,0.24553571428571427,0.29464285714285715,0.013392857142857142,0.27232142857142855,0.38839285714285715,1.8642871774559674e-09,1.8861288756816068e-09,True,sign_lost_not_trajectory_reconstructable
sample_000006,0.1916885523283606,0.20527376543416712,0.003944788603131507,0.12321969628024745,0.30357142857142855,0.3125,0.3705357142857143,0.013392857142857142,0.3169642857142857,0.5580357142857143,1.966062452705664e-09,8.571377121223774e-10,True,sign_lost_not_trajectory_reconstructable
sample_000007,0.1800441692445065,0.23502714771715782,-0.010645453976598622,0.17517292052325242,0.33482142857142855,0.36607142857142855,0.45089285714285715,0.013392857142857142,0.33035714285714285,0.4375,1.9628686125523974e-09,1.2402012427134819e-09,True,sign_lost_not_trajectory_reconstructable
sample_000008,-0.05254245645358575,0.1856673234287976,-0.14686450576726687,0.25345444197114436,0.53125,0.5714285714285714,0.6919642857142857,0.03125,0.5491071428571429,0.6116071428571429,8.633106649205201e-10,1.9103186135892747e-09,True,sign_lost_not_trajectory_reconstructable
sample_000009,-0.242627213652498,0.31735236574843817,-0.04730878334689257,0.15548019614600944,0.2857142857142857,0.3080357142857143,0.3482142857142857,0.08928571428571429,0.4375,0.5669642857142857,2.5998057773765145e-09,1.0727297404524886e-09,True,sign_lost_not_trajectory_reconstructable
sample_000010,-0.028049546369918448,0.20251480729028254,0.12079839601192963,0.19884846715329085,0.35714285714285715,0.4330357142857143,0.53125,0.026785714285714284,0.25,0.3169642857142857,1.3535111489909283e-09,1.8287396773773342e-09,True,sign_lost_not_trajectory_reconstructable
sample_000011,-0.1438861149749801,0.23223315075280457,-0.13060952589533564,0.22929978552877678,0.24553571428571427,0.26339285714285715,0.39732142857142855,0.05357142857142857,0.30357142857142855,0.39285714285714285,1.80348668173179e-09,1.813875111646498e-09,True,sign_lost_not_trajectory_reconstructable
sample_000012,0.03843528764507113,0.17427737292116188,0.17808908495504966,0.18758789265501608,0.17857142857142858,0.29910714285714285,0.4330357142857143,0.0625,0.12946428571428573,0.30357142857142855,1.2027956811333657e-09,1.9722677175045157e-09,True,sign_lost_not_trajectory_reconstructable
sample_000013,-0.061345163701286405,0.22338247304806189,0.1843543374423784,0.18281718746867143,0.03125,0.15178571428571427,0.32589285714285715,0.10267857142857142,0.12946428571428573,0.1875,1.921566410531179e-09,2.315504053362163e-09,True,sign_lost_not_trajectory_reconstructable
sample_000014,0.009948460564289652,0.24742800450445185,0.14892554700373242,0.18020984211319171,0.21875,0.32142857142857145,0.42410714285714285,0.05357142857142857,0.21428571428571427,0.3794642857142857,1.7952284968984544e-09,1.83204477043621e-09,True,sign_lost_not_trajectory_reconstructable
sample_000015,0.0922675275603659,0.22513132806835395,-0.05165509041987507,0.20329121384283044,0.21875,0.25,0.3125,0.03571428571428571,0.27232142857142855,0.3705357142857143,1.917675983070452e-09,1.4498480232531983e-09,True,sign_lost_not_trajectory_reconstructable
sample_000016,-0.31347317665621427,0.29512616024696003,-0.00047452182800549115,0.13231367412107237,0.23660714285714285,0.24553571428571427,0.29910714285714285,0.044642857142857144,0.34375,0.4955357142857143,3.5888495909666074e-09,8.971951497992403e-10,True,sign_lost_not_trajectory_reconstructable
sample_000017,0.11442740880686249,0.25805822640411397,0.09629664393133387,0.26581727125367643,0.16517857142857142,0.22321428571428573,0.36160714285714285,0.013392857142857142,0.11160714285714286,0.22767857142857142,2.1291365047495343e-09,2.168991627886605e-09,True,sign_lost_not_trajectory_reconstructable
sample_000018,0.2191087777939284,0.23854638231726466,0.1435754437561259,0.1666581516859846,0.11607142857142858,0.17410714285714285,0.26785714285714285,0.0,0.08035714285714286,0.23214285714285715,2.6488040013354887e-09,1.8082724276202995e-09,True,sign_lost_not_trajectory_reconstructable
sample_000019,0.17055245292420423,0.21321499152564716,-0.02474813841436849,0.12749664552638293,0.4107142857142857,0.4419642857142857,0.53125,0.022321428571428572,0.4330357142857143,0.5982142857142857,1.9094376122510793e-09,9.37610820387473e-10,True,sign_lost_not_trajectory_reconstructable
sample_000020,0.14432469325472094,0.20966973269785666,-0.0023608764574613106,0.26202625759812254,0.3482142857142857,0.36607142857142855,0.45535714285714285,0.017857142857142856,0.36607142857142855,0.4419642857142857,1.559909364572693e-09,1.6086221619362688e-09,True,sign_lost_not_trajectory_reconstructable
sample_000021,0.05360386779330539,0.16121337160288912,0.19487855369918336,0.2335388354447168,0.27232142857142855,0.34375,0.4642857142857143,0.026785714285714284,0.29017857142857145,0.3794642857142857,1.266697676903333e-09,2.4405881064032795e-09,True,sign_lost_not_trajectory_reconstructable
sample_000022,0.19094634293188587,0.20833502386966998,0.032366560290343446,0.09072542337579524,0.32142857142857145,0.36160714285714285,0.4107142857142857,0.013392857142857142,0.3794642857142857,0.6339285714285714,2.0381299553408602e-09,7.861203407186885e-10,True,sign_lost_not_trajectory_reconstructable
sample_000023,-0.28023594992421935,0.24152724272974305,-0.082128777923786,0.20919305946349048,0.09821428571428571,0.12053571428571429,0.19642857142857142,0.3482142857142857,0.49107142857142855,0.5401785714285714,3.2106024836502545e-09,1.4561949991648092e-09,True,sign_lost_not_trajectory_reconstructable
