sample_id,abs_diag_mae_dx,abs_diag_max_error_dx,abs_diag_mae_dy,abs_diag_max_error_dy,positive_branch_mae_dx,positive_branch_max_error_dx,positive_branch_mae_dy,positive_branch_max_error_dy,oracle_signed_mae_dx,oracle_signed_max_error_dx,oracle_signed_mae_dy,oracle_signed_max_error_dy,fraction_negative_dx,fraction_negative_dy,fraction_positive_dx,fraction_positive_dy,sign_lost,strict_signed_diagonal_invertible,status
sample_000018,2.6488040013354887e-09,1.918864278582788e-08,1.8082724276202995e-09,1.3184394687115741e-08,0.01566684916532942,0.17293997900851937,0.015724403634603795,0.4599211545763282,2.6488040013354887e-09,1.918864278582788e-08,1.8082724276202995e-09,1.3184394687115741e-08,0.21428571428571427,0.0625,0.7857142857142857,0.9375,True,False,not_strictly_invertible_from_diagonal
sample_000019,1.9094376122510793e-09,1.265495441771236e-08,9.37610820387473e-10,8.053119004980402e-09,1.9094376122510793e-09,1.265495441771236e-08,0.10398024777130832,0.9446634589551913,1.9094376122510793e-09,1.265495441771236e-08,9.37610820387473e-10,8.053119004980402e-09,0.0,0.23214285714285715,1.0,0.7678571428571429,True,False,not_strictly_invertible_from_diagonal
sample_000020,1.559909364572693e-09,1.2976100305372995e-08,1.6086221619362688e-09,1.5214908777316793e-08,0.011416012451990957,0.2304897542599777,0.15596515730385024,1.734851804583598,1.559909364572693e-09,1.2976100305372995e-08,1.6086221619362688e-09,1.5214908777316793e-08,0.08928571428571429,0.21875,0.9107142857142857,0.78125,True,False,not_strictly_invertible_from_diagonal
sample_000021,1.266697676903333e-09,9.625515107192228e-09,2.4405881064032795e-09,1.8733320561459266e-08,0.06035122671947402,0.743787233126264,0.013192752068897055,0.393342089930234,1.266697676903333e-09,9.625515107192228e-09,2.4405881064032795e-09,1.8733320561459266e-08,0.3794642857142857,0.08928571428571429,0.6205357142857143,0.9107142857142857,True,False,not_strictly_invertible_from_diagonal
sample_000022,2.0381299553408602e-09,1.2220260137141281e-08,7.861203407186885e-10,6.416268905073963e-09,0.0026405546692942023,0.14387443598135127,0.030581889543442903,0.6771791544177732,2.0381299553408602e-09,1.2220260137141281e-08,7.861203407186885e-10,6.416268905073963e-09,0.03125,0.10267857142857142,0.96875,0.8973214285714286,True,False,not_strictly_invertible_from_diagonal
sample_000023,3.2106024836502545e-09,1.9046820787238516e-08,1.4561949991648092e-09,1.4633190770219073e-08,0.5727430093466533,1.5134428257796175,0.2154759297059825,1.5199299021429917,3.2106024836502545e-09,1.9046820787238516e-08,1.4561949991648092e-09,1.4633190770219073e-08,0.7991071428571429,0.4330357142857143,0.20089285714285715,0.5669642857142857,True,False,not_strictly_invertible_from_diagonal
sample_000024,1.6715763278639117e-09,2.0271561429474616e-08,9.534354977671475e-10,1.030570084825655e-08,0.3065519440942212,1.4640313705146597,0.012409268126898573,0.13929040568788154,1.6715763278639117e-09,2.0271561429474616e-08,9.534354977671475e-10,1.030570084825655e-08,0.6830357142857143,0.26339285714285715,0.3169642857142857,0.7366071428571429,True,False,not_strictly_invertible_from_diagonal
sample_000025,1.6253456186340722e-09,1.4537119952251487e-08,1.3134092926755555e-09,1.2892862999436261e-08,0.036347500745704184,0.7466937943847609,0.027905534851195766,0.7168929859228421,1.6253456186340722e-09,1.4537119952251487e-08,1.3134092926755555e-09,1.2892862999436261e-08,0.20535714285714285,0.10714285714285714,0.7946428571428571,0.8928571428571429,True,False,not_strictly_invertible_from_diagonal
sample_000026,2.001257576532437e-09,1.9750653890149295e-08,2.3902542940056287e-09,1.9714377574864272e-08,0.032781781867961476,0.829821240931147,0.25016556165315956,1.6665206523675917,2.001257576532437e-09,1.9750653890149295e-08,2.3902542940056287e-09,1.9714377574864272e-08,0.14285714285714285,0.34375,0.8571428571428571,0.65625,True,False,not_strictly_invertible_from_diagonal
sample_000027,3.2684256938580337e-09,1.870682930782408e-08,1.3199751657000635e-09,1.4633190770219073e-08,0.105524791441726,1.4262461985289097,0.11884816369387433,1.5199299021429917,3.2684256938580337e-09,1.870682930782408e-08,1.3199751657000635e-09,1.4633190770219073e-08,0.15625,0.33482142857142855,0.84375,0.6651785714285714,True,False,not_strictly_invertible_from_diagonal
sample_000028,2.7999801650520705e-09,1.4537116621582413e-08,1.0640238668638987e-09,8.845893517683834e-09,0.014273260391153677,0.401976460475968,0.0781709536282842,0.9732807711036393,2.7999801650520705e-09,1.4537116621582413e-08,1.0640238668638987e-09,8.845893517683834e-09,0.08035714285714286,0.1875,0.9196428571428571,0.8125,True,False,not_strictly_invertible_from_diagonal
sample_000029,9.721470924622394e-10,1.1793852006114491e-08,2.41759739576273e-09,1.862999743362792e-08,0.06415440103917015,1.356488892246135,0.3723901304408467,1.8025989307553338,9.721470924622394e-10,1.1793852006114491e-08,2.41759739576273e-09,1.862999743362792e-08,0.125,0.4642857142857143,0.875,0.5357142857142857,True,False,not_strictly_invertible_from_diagonal
sample_000030,1.4637461588072553e-09,1.6154262372225503e-08,1.5893825995297308e-09,1.3763488126983248e-08,0.08050636423896422,0.9007411746277112,0.20256606861907386,1.4410863037328294,1.4637461588072553e-09,1.6154262372225503e-08,1.5893825995297308e-09,1.3763488126983248e-08,0.20535714285714285,0.36607142857142855,0.7946428571428571,0.6339285714285714,True,False,not_strictly_invertible_from_diagonal
sample_000031,2.2368272574228413e-09,1.7379846783960318e-08,1.956370899673812e-09,1.3184398017784815e-08,0.08945310216204806,1.1030373449159665,0.31134889405763294,1.552635415835657,2.2368272574228413e-09,1.7379846783960318e-08,1.956370899673812e-09,1.3184398017784815e-08,0.20982142857142858,0.5357142857142857,0.7901785714285714,0.4642857142857143,True,False,not_strictly_invertible_from_diagonal
sample_000032,2.2409250416550046e-09,1.8834058201910864e-08,1.2768899717115213e-09,8.384803518168837e-09,0.05915616701258013,1.1570992709320365,0.04734267880481801,0.8512191495511614,2.2409250416550046e-09,1.8834058201910864e-08,1.2768899717115213e-09,8.384803518168837e-09,0.14285714285714285,0.15178571428571427,0.8571428571428571,0.8482142857142857,True,False,not_strictly_invertible_from_diagonal
sample_000033,2.201201154484349e-09,1.6419825610292094e-08,1.8318621737475766e-09,1.606784394425631e-08,0.36900393443761886,1.6605144559640934,0.03165217200180804,1.3050080313104702,2.201201154484349e-09,1.6419825610292094e-08,1.8318621737475766e-09,1.606784394425631e-08,0.7455357142857143,0.24107142857142858,0.2544642857142857,0.7589285714285714,True,False,not_strictly_invertible_from_diagonal
sample_000034,8.826352825813979e-10,1.0904010361301175e-08,2.2842876567404622e-09,1.3607707405327574e-08,0.10782797375704016,1.208254603250908,0.4116776690043947,1.1987151474105295,8.826352825813979e-10,1.0904010361301175e-08,2.2842876567404622e-09,1.3607707405327574e-08,0.4107142857142857,0.7366071428571429,0.5892857142857143,0.26339285714285715,True,False,not_strictly_invertible_from_diagonal
sample_000035,1.997363680845454e-09,1.2283998929163431e-08,1.488169516221584e-09,1.687708028885737e-08,0.31976508831597616,1.673884605473611,0.25374663689741095,1.655424156789275,1.997363680845454e-09,1.2283998929163431e-08,1.488169516221584e-09,1.687708028885737e-08,0.4107142857142857,0.6071428571428571,0.5892857142857143,0.39285714285714285,True,False,not_strictly_invertible_from_diagonal
sample_000036,1.3113791902105117e-09,1.7503045679490015e-08,1.6233017751562287e-09,1.42720032458854e-08,0.11728206082878163,1.62098533786114,0.29885228309216216,1.6151263097351725,1.3113791902105117e-09,1.7503045679490015e-08,1.6233017751562287e-09,1.42720032458854e-08,0.14285714285714285,0.48214285714285715,0.8571428571428571,0.5178571428571429,True,False,not_strictly_invertible_from_diagonal
sample_000037,2.9854489436410626e-09,1.6106129763215904e-08,1.1963711834434778e-09,1.4655482161174405e-08,0.08583288599822639,1.19488447181282,0.00016686601426889195,0.026573222569700548,2.9854489436410626e-09,1.6106129763215904e-08,1.1963711834434778e-09,1.4655482161174405e-08,0.12946428571428573,0.008928571428571428,0.8705357142857143,0.9910714285714286,True,False,not_strictly_invertible_from_diagonal
sample_000038,3.1633129695836284e-09,1.7527154949625867e-08,1.1346908086858447e-09,9.769361597466997e-09,0.5341299547039637,1.461706129835147,0.07611773430810588,1.0381077545019028,3.1633129695836284e-09,1.7527154949625867e-08,1.1346908086858447e-09,9.769361597466997e-09,0.9241071428571429,0.47767857142857145,0.07589285714285714,0.5223214285714286,True,False,not_strictly_invertible_from_diagonal
