sample_id,delta_consistency_mse,delta_consistency_max_error,delta_consistency_error,absolute_shape,delta_shape,status
sample_000087,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000088,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000089,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000090,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000091,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000092,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000093,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000094,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000095,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000096,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000097,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000098,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000099,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000100,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000101,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000102,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000103,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000104,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000105,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000106,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000107,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000108,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000109,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000110,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000111,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000112,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000113,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000114,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000115,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000116,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000117,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000118,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000119,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000120,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000121,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000122,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000123,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000124,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000125,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000126,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
